trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,0,-64.33988367228889,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.4747342999399124}",30,8,-48.17155446836109,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,5,-40.39187656340199,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.47001061473053796}",25,0,-23.89813300320223,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,10,-22.85942298714854,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.4653339309743134}",30,0,-84.63226467289151,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,18,-11.490002117473098,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.4607037809989658}",20,0,-33.86778140205435,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,4,-26.137633002322826,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.4561197017856392}",20,9,-27.459698662107755,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,15,19.573901625396033,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.4515812349225922}",30,0,-110.90344374504616,"{0: 22, 1: 0, 2: 4, 3: 3, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,3,-30.30570325409249,"{0: 23, 1: 0, 2: 2, 3: 2, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.4470879265593564}",25,0,9.515061485026337,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,0,-16.058088869489772,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.4426393273613511}",20,0,-9.575285535271268,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,0,-54.5227191083845,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.4382349924649492}",20,12,1.6802601176265528,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,0,-20.392753347045595,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.4338744814329909}",30,7,-22.00275709714136,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,4,-97.39111125106858,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 2}",1
169,False,"{'a': 0.5, 'e': 0.42955735821073915}",25,11,-0.025685243175889383,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.4274149319487267}",30,8,-32.07214401284279,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,0,-21.855498872319053,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,7,-6.507538406668789,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.4210515526273212}",30,6,-24.056134097246094,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.418951549247639}",25,7,-42.54638706697917,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.4168620196785084}",25,14,0.3640301866287543,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,0,-31.522295038204923,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.4127141732790497}",30,8,-16.470600771330062,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.4106557527523455}",30,0,-13.049946063031115,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.40860759864084845}",25,10,29.128492256125085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,9,6.546962650961296,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4045418851030188}",25,4,-44.06685607976637,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,11,-45.058147567599576,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
